,coma,puntos,parentesis,word_count,letras,charbyword,concre_media,cant_abstractas
6794,0,1,0,8,34,4.25,1.0787499999999999,2
4507,0,0,0,10,45,4.5,2.2209999999999996,4
4911,0,1,0,21,93,4.428571428571429,2.404285714285714,7
3098,0,1,0,11,39,3.5454545454545454,1.613636363636364,4
4851,0,1,0,5,23,4.6,1.27,2
4345,0,1,0,18,100,5.555555555555555,1.7516666666666667,9
5654,0,1,0,11,53,4.818181818181818,2.393636363636364,3
3459,0,1,0,12,48,4.0,1.3883333333333334,3
6113,0,1,0,4,12,3.0,1.8375000000000001,2
6835,0,1,0,5,17,3.4,1.4900000000000002,2
5788,0,1,0,8,26,3.25,2.0675,3
3852,0,1,0,6,31,5.166666666666667,1.3266666666666667,2
7039,0,1,0,8,30,3.75,1.00375,3
719,0,1,0,11,51,4.636363636363637,2.5854545454545454,1
6298,0,1,0,4,13,3.25,2.4675000000000002,1
4584,0,1,0,6,17,2.8333333333333335,2.356666666666667,2
4028,0,1,0,5,14,2.8,2.368,1
1667,0,1,0,6,18,3.0,0.9533333333333333,1
609,0,1,0,4,17,4.25,1.09,0
6687,0,1,0,7,30,4.285714285714286,1.3557142857142854,4
2279,0,1,0,14,71,5.071428571428571,2.156428571428571,5
778,0,0,0,12,46,3.8333333333333335,2.3966666666666665,7
1736,0,0,0,14,62,4.428571428571429,2.8121428571428573,7
1227,0,1,0,7,26,3.7142857142857144,2.587142857142857,2
437,1,1,0,27,117,4.333333333333333,1.9092592592592594,12
76,0,1,0,9,44,4.888888888888889,0.8744444444444444,3
5067,0,1,0,4,14,3.5,0.49,1
280,2,1,0,16,77,4.8125,1.3599999999999999,7
5314,0,1,0,4,12,3.0,1.51,1
5600,1,1,0,7,40,5.714285714285714,0.0,0
1740,0,1,0,10,38,3.8,2.604,3
2045,0,1,0,4,15,3.75,2.87,0
6732,0,0,0,7,30,4.285714285714286,1.485714285714286,2
176,0,1,0,4,18,4.5,0.605,1
2699,0,1,0,9,38,4.222222222222222,1.6888888888888889,4
2126,0,1,0,3,9,3.0,1.9633333333333336,1
1914,0,1,0,5,23,4.6,1.8199999999999998,1
299,0,1,0,6,32,5.333333333333333,1.39,2
2423,0,3,0,22,82,3.727272727272727,1.617727272727273,8
3518,0,1,0,10,38,3.8,1.9880000000000002,4
2265,0,1,0,5,22,4.4,2.154,1
2352,0,1,0,5,28,5.6,2.068,0
5663,0,3,0,7,30,4.285714285714286,2.1414285714285715,1
6353,0,1,0,6,28,4.666666666666667,2.0366666666666666,2
5134,0,1,0,6,21,3.5,1.8933333333333333,2
4624,0,1,0,10,35,3.5,2.293,5
745,0,0,0,11,55,5.0,1.9836363636363636,1
4315,0,1,0,8,30,3.75,1.5587499999999999,3
2631,0,1,0,4,16,4.0,0.49,1
5923,1,1,0,45,219,4.866666666666666,1.6222222222222222,19
261,0,1,0,8,28,3.5,1.7925,3
2487,0,1,0,4,15,3.75,1.8325,2
3186,0,1,0,6,33,5.5,1.2683333333333333,3
971,0,0,0,7,34,4.857142857142857,2.3642857142857143,1
4062,0,1,0,6,25,4.166666666666667,1.9900000000000002,2
5968,0,0,0,6,23,3.8333333333333335,2.5300000000000002,3
1171,0,0,0,11,44,4.0,1.8809090909090906,5
1207,0,0,0,3,10,3.3333333333333335,1.9666666666666668,1
2331,0,1,0,15,68,4.533333333333333,2.296666666666667,4
